C266_N20

VEHICLE
NUMBER     CAPACITY
    4          100

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0       150        150          0          0       3815            0
    1       248         45         20       1971       2339           90
    2       227        221         10       1844       2258           90
    3       122        246         20       2916       3625           90
    4       165         85         10       2937       3423           90
    5       253        198         20        656       1125           90
    6        55        126         30        722       1357           90
    7       131         70         20       1116       1538           90
    8        58        230         10       1568       2124           90
    9       243         35         10       2259       2816           90
   10        97         45         20        210        788           90
   11        30         28         30       1174       1638           90
   12       108         27         30       1084       1426           90
   13       279         44         10        447        988           90
   14        97         40         20        412        775           90
   15        18         52         20       1536       1922           90
   16       226        232         20       2980       3476           90
   17       272         21         20       1743       2106           90
   18        64         30         20        459        959           90
   19       141        231         20         81        627           90
   20        68        211         40       2802       3364           90
