C266_N60

VEHICLE
NUMBER     CAPACITY
   12          100

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0       150        150          0          0       3815            0
    1       248         45         20       1971       2339           90
    2       227        221         10       1844       2258           90
    3       122        246         20       2916       3625           90
    4       165         85         10       2937       3423           90
    5       253        198         20        656       1125           90
    6        55        126         30        722       1357           90
    7       131         70         20       1116       1538           90
    8        58        230         10       1568       2124           90
    9       243         35         10       2259       2816           90
   10        97         45         20        210        788           90
   11        30         28         30       1174       1638           90
   12       108         27         30       1084       1426           90
   13       279         44         10        447        988           90
   14        97         40         20        412        775           90
   15        18         52         20       1536       1922           90
   16       226        232         20       2980       3476           90
   17       272         21         20       1743       2106           90
   18        64         30         20        459        959           90
   19       141        231         20         81        627           90
   20        68        211         40       2802       3364           90
   21        50        104         20        680       1206           90
   22       182        178         20       2964       3576           90
   23        66        211         10       2739       3242           90
   24        83        219         20         96        455           90
   25       141        210         20         60        626           90
   26       173         87         20        302        775           90
   27       260        180         10        890       1481           90
   28       165        187         20       3133       3686           90
   29       117        262         20       2045       2693           90
   30        91         49         20       1284       1833           90
   31       176         82         10        453        997           90
   32        41         46         10       2202       2647           90
   33       182        233         20       2277       2757           90
   34       239        181         20         94        479           90
   35       177        114         10        450        790           90
   36        34        135         20       1519       2093           90
   37       140        231         20         81        518           90
   38       142         82         20        990       1452           90
   39       102         51         30        110        637           90
   40       238         62         10        231        769           90
   41       261         39         20       2801       3319           90
   42         6        146         20       1778       2130           90
   43       244        235         10       2310       2809           90
   44       125         23         10       2144       2608           90
   45       135         23         10       3180       3598           90
   46        92         52         20        146        654           90
   47       136        272         30       1731       2015           90
   48       262        257         20       1566       2084           90
   49        75         28         30       1258       1647           90
   50       123         63         10       2621       3105           90
   51       224        155         20        812       1251           90
   52       170        116         20        245        801           90
   53       179         62         20       2409       2977           90
   54       154        257         10       1301       1764           90
   55       240         38         10       2345       2919           90
   56        83        105         20        275        816           90
   57       207        201         20       3000       3458           90
   58        28        122         30        173        460           90
   59        25        150         20       1318       1824           90
   60       262         32         10       2013       2406           90
